Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles, Deadhead Miles Questionable ,Vehicle Hours, Vehicle Hours Questionable ,"Vehicle 
Revenue 
Hours", Vehicle Revenue Hours Questionable ,Deadhead Hours, Deadhead Hours Questionable ,Train Miles, Train Miles Questionable ,"Train 
Revenue
Miles", Train Revenue Miles Questionable ,Train Hours, Train Hours Questionable ,"Train 
Revenue 
Hours", Train Revenue Hours Questionable ,Unlinked Passenger Trips, Unlinked Passenger Trips Questionable ,Passenger Miles,Passenger Miles Questionable,Directional Route Miles
Watonwan County,St. James,MN,5R04-047,5R04-50448,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  3 ,DR,DO,3,,0,,  16.73 ,,  -   ,,  3.21 ,, 0 ,, 0 ,,137888,, 0 ,, 0 ,,8242,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,26493,, 0 ,,0.0
"Hibbing, City of",Hibbing,MN,5R04-003,5R04-50332,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  3 ,MB,DO,2,,0,,  11.55 ,,  -   ,,  7.29 ,, 0 ,, 0 ,,42591,, 0 ,, 0 ,,3686,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,26858,, 0 ,,0.0
"Southwestern MN Opportunity Council, Inc.",Worthington,MN,5R04-046,5R04-50471,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  3 ,MB,DO,1,,0,,  16.64 ,,  -   ,,  1.39 ,, 0 ,, 0 ,,45135,, 0 ,, 0 ,,2712,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,3756,, 0 ,,0.0
"Hibbing, City of",Hibbing,MN,5R04-003,5R04-50332,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  3 ,DR,DO,1,,0,,  11.73 ,,  -   ,,  4.46 ,, 0 ,, 0 ,,70327,, 0 ,, 0 ,,5995,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,26764,, 0 ,,0.0
"Southwestern MN Opportunity Council, Inc.",Worthington,MN,5R04-046,5R04-50471,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  3 ,DR,DO,2,,0,,  4.14 ,,  -   ,,  3.01 ,, 0 ,, 0 ,,32234,, 0 ,, 0 ,,7795,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,23456,, 0 ,,0.0
Leech Lake Band of Ojibwe,Cass Lake,MN,5T08,55258,Tribe,Reduced Reporter, 0 ,  2 ,DR,DO,2,,0,,  39.09 ,,  -   ,,  7.98 ,, 0 ,, 0 ,,51011,, 0 ,, 0 ,,1305,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,10411,, 0 ,,0.0
"Fosston, City of",Fosston,MN,5R04-005,5R04-50430,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  1 ,DR,DO,1,,0,,  8.88 ,,  -   ,,  6.32 ,, 0 ,, 0 ,,21301,, 0 ,, 0 ,,2398,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,15149,, 0 ,,0.0
"Granite Falls, City of",Granite Falls,MN,5R04-050,5R04-50245,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  1 ,DR,DO,1,,0,,  9.90 ,,  -   ,,  7.04 ,, 0 ,, 0 ,,30567,, 0 ,, 0 ,,3087,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,21736,, 0 ,,0.0
Enterprise Rideshare - Michigan,Farmington Hills,MI,5193,50193,Private Provider Reporting on Behalf of a Public Entity,Full Reporter," 3,734,090 ",  407 ,VP,DO,407,,0,,  40.74 ,,  39.47 ,,  5.20 ,, 0 ,," 7,066,423 ",,7066423,, 0 ,," 173,455 ",,173455,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,902693,," 35,633,503 ",,0.0
Suburban Mobility Authority for Regional Transportation,Detroit,MI,5031,50031,Independent Public Agency or Authority of Transit Service,Full Reporter," 3,734,090 ",  322 ,DR,DO,85,,0,,  16.45 ,,  8.58 ,,  1.79 ,, 0 ,," 3,349,499 ",,2869373,," 480,126 ",," 202,361 ",,174473,," 27,888 ",, 0 ,, 0 ,, 0 ,, 0 ,,312550,," 2,681,679 ",,0.0
Suburban Mobility Authority for Regional Transportation,Detroit,MI,5031,50031,Independent Public Agency or Authority of Transit Service,Full Reporter," 3,734,090 ",  322 ,MB,DO,220,,0,,  16.69 ,,  9.32 ,,  13.60 ,," 10,069,773 ",," 12,544,198 ",,10031460,," 2,512,738 ",," 680,103 ",,601073,," 79,030 ",, 0 ,, 0 ,, 0 ,, 0 ,,8172636,," 76,162,014 ",,"1,380.0"
Suburban Mobility Authority for Regional Transportation,Detroit,MI,5031,50031,Independent Public Agency or Authority of Transit Service,Full Reporter," 3,734,090 ",  322 ,DR,PT,17,,0,,  11.94 ,,  4.25 ,,  3.54 ,, 0 ,," 330,783 ",,309987,," 20,796 ",," 29,011 ",,25964,," 3,047 ",, 0 ,, 0 ,, 0 ,, 0 ,,91891,," 390,317 ",,0.0
"City of Detroit , dba: Detroit Department of Transportation",Detroit,MI,5119,50119,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 3,734,090 ",  309 ,DR,PT,66,,0,,  20.86 ,,  10.03 ,,  2.37 ,, 0 ,," 3,259,224 ",,2923270,," 335,954 ",," 155,499 ",,140112,," 15,387 ",, 0 ,, 0 ,, 0 ,, 0 ,,332151,," 3,332,821 ",,0.0
"City of Detroit , dba: Detroit Department of Transportation",Detroit,MI,5119,50119,"City, County or Local Government Unit or Department of Transportation",Full Reporter," 3,734,090 ",  309 ,MB,DO,243,,0,,  12.61 ,,  4.15 ,,  25.56 ,," 11,743,137 ",," 13,946,790 ",,11589250,," 2,357,540 ",," 1,008,510 ",,919285,," 89,225 ",, 0 ,, 0 ,, 0 ,, 0 ,,23495019,," 97,496,748 ",,"1,013.8"
Ann Arbor Area Transportation Authority,Ann Arbor,MI,5040,50040,Independent Public Agency or Authority of Transit Service,Full Reporter," 306,022 ",  265 ,VP,PT,109,,0,,  35.97 ,,  31.84 ,,  4.70 ,, 0 ,," 1,792,438 ",,1792438,, 0 ,," 49,833 ",,49833,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,234442,," 7,463,845 ",,0.0
Ann Arbor Area Transportation Authority,Ann Arbor,MI,5040,50040,Independent Public Agency or Authority of Transit Service,Full Reporter," 306,022 ",  265 ,DR,PT,58,,0,,  8.93 ,,  6.75 ,,  1.91 ,, 0 ,," 1,423,370 ",,776634,," 646,736 ",," 115,446 ",,86996,," 28,450 ",, 0 ,, 0 ,, 0 ,, 0 ,,166583,," 1,123,611 ",,0.0
Ann Arbor Area Transportation Authority,Ann Arbor,MI,5040,50040,Independent Public Agency or Authority of Transit Service,Full Reporter," 306,022 ",  265 ,MB,DO,85,,0,,  12.30 ,,  3.52 ,,  23.85 ,," 3,600,230 ",," 3,708,512 ",,3411396,," 297,116 ",," 289,893 ",,277421,," 12,472 ",, 0 ,, 0 ,, 0 ,, 0 ,,6617835,," 23,275,879 ",,419.8
Ann Arbor Area Transportation Authority,Ann Arbor,MI,5040,50040,Independent Public Agency or Authority of Transit Service,Full Reporter," 306,022 ",  265 ,CB,PT,2,,0,,  31.06 ,,  26.52 ,,  10.14 ,," 279,995 ",," 298,535 ",,279623,," 18,912 ",," 10,148 ",,9004,," 1,144 ",, 0 ,, 0 ,, 0 ,, 0 ,,91307,," 2,421,462 ",,54.4
Ann Arbor Area Transportation Authority,Ann Arbor,MI,5040,50040,Independent Public Agency or Authority of Transit Service,Full Reporter," 306,022 ",  265 ,DT,PT,9,,0,,  11.73 ,,  9.97 ,,  1.82 ,, 0 ,, 0 ,,197509,, 0 ,, 0 ,,16839,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,30611,," 305,176 ",,0.0
Ann Arbor Area Transportation Authority,Ann Arbor,MI,5040,50040,Independent Public Agency or Authority of Transit Service,Full Reporter," 306,022 ",  265 ,CB,DO,2,,0,,  26.46 ,,  16.99 ,,  12.62 ,," 54,656 ",," 77,000 ",,54648,," 22,352 ",," 2,809 ",,2065,, 744 ,, 0 ,, 0 ,, 0 ,, 0 ,,26065,," 442,844 ",,75.5
Mass Transportation Authority ,Flint,MI,5032,50032,Independent Public Agency or Authority of Transit Service,Full Reporter," 356,218 ",  242 ,DR,DO,141,,0,,  18.85 ,,  9.35 ,,  2.13 ,, 0 ,," 5,366,518 ",,4738154,," 628,364 ",," 312,015 ",,251376,," 60,639 ",, 0 ,, 0 ,, 0 ,, 0 ,,534467,," 4,994,801 ",,0.0
Mass Transportation Authority ,Flint,MI,5032,50032,Independent Public Agency or Authority of Transit Service,Full Reporter," 356,218 ",  242 ,MB,DO,99,,0,,  19.53 ,,  6.52 ,,  22.24 ,," 4,045,056 ",," 4,329,237 ",,3716728,," 612,509 ",," 221,975 ",,190272,," 31,703 ",, 0 ,, 0 ,, 0 ,, 0 ,,4231534,," 27,603,871 ",,"1,854.8"
Mass Transportation Authority ,Flint,MI,5032,50032,Independent Public Agency or Authority of Transit Service,Full Reporter," 356,218 ",  242 ,DR,PT,2,,0,,  19.61 ,,  30.75 ,,  1.60 ,, 0 ,," 46,592 ",,39283,," 7,309 ",," 2,770 ",,2003,, 767 ,, 0 ,, 0 ,, 0 ,, 0 ,,3202,," 98,461 ",,0.0
Interurban Transit Partnership,Grand Rapids,MI,5033,50033,Independent Public Agency or Authority of Transit Service,Full Reporter," 569,935 ",  229 ,RB,DO,8,,0,,  13.42 ,,  3.02 ,,  30.66 ,," 369,887 ",," 396,393 ",,370741,," 25,652 ",," 28,818 ",,27625,," 1,193 ",, 0 ,, 0 ,, 0 ,, 0 ,,847015,," 2,561,373 ",,19.0
Interurban Transit Partnership,Grand Rapids,MI,5033,50033,Independent Public Agency or Authority of Transit Service,Full Reporter," 569,935 ",  229 ,DR,PT,74,,0,,  14.66 ,,  14.01 ,,  2.38 ,, 0 ,," 2,522,892 ",,2160720,," 362,172 ",," 170,497 ",,147385,," 23,112 ",, 0 ,, 0 ,, 0 ,, 0 ,,350682,," 4,914,442 ",,0.0
Interurban Transit Partnership,Grand Rapids,MI,5033,50033,Independent Public Agency or Authority of Transit Service,Full Reporter," 569,935 ",  229 ,VP,DO,24,,0,,  47.20 ,,  43.82 ,,  3.28 ,, 0 ,," 555,549 ",,555549,, 0 ,," 11,770 ",,11770,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,38648,," 1,693,568 ",,0.0
Interurban Transit Partnership,Grand Rapids,MI,5033,50033,Independent Public Agency or Authority of Transit Service,Full Reporter," 569,935 ",  229 ,MB,DO,123,,0,,  12.44 ,,  3.37 ,,  22.26 ,," 5,131,772 ",," 5,425,548 ",,5159397,," 266,151 ",," 431,034 ",,414658,," 16,376 ",, 0 ,, 0 ,, 0 ,, 0 ,,9229723,," 31,104,166 ",,504.5
Blue Water Area Transportation Commission,Port Huron,MI,5148,50148,Independent Public Agency or Authority of Transit Service,Full Reporter," 87,106 ",  203 ,CB,DO,3,,0,,  27.92 ,,  28.43 ,,  4.47 ,," 99,060 ",," 99,330 ",,99076,, 254 ,," 3,803 ",,3549,, 254 ,, 0 ,, 0 ,, 0 ,, 0 ,,15869,," 451,156 ",,157.0
Blue Water Area Transportation Commission,Port Huron,MI,5148,50148,Independent Public Agency or Authority of Transit Service,Full Reporter," 87,106 ",  203 ,DR,PT,147,,0,,  16.12 ,,  9.45 ,,  3.91 ,, 0 ,," 1,375,069 ",,1196222,," 178,847 ",," 89,309 ",,74190,," 15,119 ",, 0 ,, 0 ,, 0 ,, 0 ,,290345,," 2,742,724 ",,0.0
Blue Water Area Transportation Commission,Port Huron,MI,5148,50148,Independent Public Agency or Authority of Transit Service,Full Reporter," 87,106 ",  203 ,DR,DO,44,,0,,  16.57 ,,  7.64 ,,  4.46 ,, 0 ,," 1,294,842 ",,1280273,," 14,569 ",," 78,727 ",,77269,," 1,458 ",, 0 ,, 0 ,, 0 ,, 0 ,,344341,," 2,632,370 ",,0.0
Blue Water Area Transportation Commission,Port Huron,MI,5148,50148,Independent Public Agency or Authority of Transit Service,Full Reporter," 87,106 ",  203 ,MB,DO,9,,0,,  12.17 ,,  3.23 ,,  29.54 ,," 400,232 ",," 404,246 ",,394338,," 9,908 ",," 34,078 ",,32393,," 1,685 ",, 0 ,, 0 ,, 0 ,, 0 ,,957036,," 3,092,729 ",,174.0
Capital Area Transportation Authority,Lansing,MI,5036,50036,Independent Public Agency or Authority of Transit Service,Full Reporter," 313,532 ",  174 ,DR,DO,26,,0,,  13.45 ,,  5.57 ,,  2.64 ,, 0 ,," 832,551 ",,695282,," 137,269 ",," 61,655 ",,51675,," 9,980 ", Q , 0 ,, 0 ,, 0 ,, 0 ,,136636,," 760,474 ",,0.0
Capital Area Transportation Authority,Lansing,MI,5036,50036,Independent Public Agency or Authority of Transit Service,Full Reporter," 313,532 ",  174 ,MB,DO,85,,0,,  12.56 ,,  2.78 ,,  37.26 ,," 3,281,344 ",," 3,558,952 ",,3330621,," 228,331 ",," 278,540 ",,265269,," 13,271 ",, 0 ,, 0 ,, 0 ,, 0 ,,9885082,," 27,488,246 ",,398.8
Capital Area Transportation Authority,Lansing,MI,5036,50036,Independent Public Agency or Authority of Transit Service,Full Reporter," 313,532 ",  174 ,DR,PT,63,,0,,  16.92 ,,  8.42 ,,  2.55 ,, 0 ,," 2,795,832 ",,2404582,," 391,250 ",," 165,930 ",,142151,," 23,779 ",, 0 ,, 0 ,, 0 ,, 0 ,,362868,," 3,054,907 ",,0.0
Central County Transportation Authority,Kalamazoo,MI,5035,50035,Independent Public Agency or Authority of Transit Service,Full Reporter," 209,703 ",  70 ,MB,DO,29,,0,,  13.40 ,,  4.02 ,,  20.66 ,," 1,736,774 ",," 1,747,807 ",,1732256,," 15,551 ",," 130,252 ",,129304,, 948 ,, 0 ,, 0 ,, 0 ,, 0 ,,2671067,," 10,740,997 ",,218.0
Central County Transportation Authority,Kalamazoo,MI,5035,50035,Independent Public Agency or Authority of Transit Service,Full Reporter," 209,703 ",  70 ,DR,PT,41,,0,,  14.20 ,,  10.38 ,,  1.82 ,, 0 ,," 1,515,028 ",,1283554,," 231,474 ",," 108,399 ",,90401,," 17,998 ",, 0 ,, 0 ,, 0 ,, 0 ,,164456,," 1,707,676 ",,0.0
Bay Area Transportation Authority,Traverse City,MI,5R03-010,5R03-50413,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  63 ,DR,DO,21,,0,,  16.95 ,,  -   ,,  2.98 ,, 0 ,, 0 ,,623536,, 0 ,, 0 ,,36794,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,109648,, 0 ,,0.0
Bay Area Transportation Authority,Traverse City,MI,5R03-010,5R03-50413,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  63 ,MB,DO,42,,0,,  14.03 ,,  -   ,,  3.86 ,, 0 ,, 0 ,,1538673,, 0 ,, 0 ,,109674,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,423019,, 0 ,,0.0
Bay Metropolitan Transit Authority,Bay City,MI,5029,50029,Independent Public Agency or Authority of Transit Service,Full Reporter," 70,585 ",  52 ,MB,DO,38,,0,,  20.93 ,,  6.79 ,,  9.97 ,," 1,005,326 ",," 1,006,345 ",,1005176,," 1,169 ",," 48,071 ",,48026,, 45 ,, 0 ,, 0 ,, 0 ,, 0 ,,478721,," 3,248,592 ",,604.0
Bay Metropolitan Transit Authority,Bay City,MI,5029,50029,Independent Public Agency or Authority of Transit Service,Full Reporter," 70,585 ",  52 ,DR,DO,14,,0,,  16.32 ,,  9.20 ,,  1.83 ,, 0 ,," 426,455 ",,421756,," 4,699 ",," 26,122 ",,25844,, 278 ,, 0 ,, 0 ,, 0 ,, 0 ,,47166,," 433,830 ",,0.0
University of Michigan Parking and Transportation Services,Ann Arbor,MI,5158,50158,University,Full Reporter," 306,022 ",  43 ,MB,DO,43,,0,,  9.44 ,,  2.05 ,,  64.48 ,," 1,129,667 ",," 1,388,682 ",,1122989,," 265,693 ",," 135,663 ",,118932,," 16,731 ",, 0 ,, 0 ,, 0 ,, 0 ,,7669071,," 15,721,596 ",,20.7
Huron Transit Corporation,Bad Axe,MI,5R03-037,5R03-50370,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  42 ,DR,DO,42,,0,,  25.24 ,,  -   ,,  5.13 ,, 0 ,, 0 ,,1991642,, 0 ,, 0 ,,78897,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,405067,, 0 ,,0.0
Saginaw Transit Authority Regional Service,Saginaw,MI,5039,50039,Independent Public Agency or Authority of Transit Service,Full Reporter," 126,265 ",  40 ,MB,DO,30,,0,,  15.18 ,,  6.69 ,,  8.09 ,," 952,698 ",," 947,165 ",,947165,, 0 ,," 62,383 ",,62383,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,504974,," 3,378,276 ",,348.0
Saginaw Transit Authority Regional Service,Saginaw,MI,5039,50039,Independent Public Agency or Authority of Transit Service,Full Reporter," 126,265 ",  40 ,DR,DO,10,,0,,  13.26 ,,  7.67 ,,  1.70 ,, 0 ,," 294,963 ",,248582,," 46,381 ",," 22,314 ",,18751,," 3,563 ",, 0 ,, 0 ,, 0 ,, 0 ,,31916,," 244,796 ",,0.0
Isabella County Transportation Commission,Mt. Pleasant,MI,5R03-042,5R03-50244,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  39 ,MB,DO,5,,0,,  11.85 ,,  -   ,,  13.52 ,, 0 ,, 0 ,,135503,, 0 ,, 0 ,,11431,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,154546,, 0 ,,0.0
Isabella County Transportation Commission,Mt. Pleasant,MI,5R03-042,5R03-50244,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  39 ,DR,DO,34,,0,,  14.31 ,,  -   ,,  4.48 ,, 0 ,, 0 ,,1185573,, 0 ,, 0 ,,82836,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,371190,, 0 ,,0.0
Marquette County Transit Authority,Marquette ,MI,5R03-049,5R03-50427,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  29 ,DR,DO,19,,0,,  15.31 ,,  -   ,,  2.57 ,, 0 ,, 0 ,,236569,, 0 ,, 0 ,,15457,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,39767,, 0 ,,0.0
Marquette County Transit Authority,Marquette ,MI,5R03-049,5R03-50427,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  29 ,MB,DO,10,,0,,  21.44 ,,  -   ,,  9.82 ,, 0 ,, 0 ,,672954,, 0 ,, 0 ,,31381,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,308277,, 0 ,,0.0
Harbor Transit Multi-Modal Transportation System,Grand Haven,MI,5196,50196,Independent Public Agency or Authority of Transit Service,Reduced Reporter," 161,280 ",  27 ,DR,DO,27,,0,,  14.18 ,,  -   ,,  4.94 ,, 0 ,, 0 ,,719978,, 0 ,, 0 ,,50773,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,251015,, 0 ,,0.0
Thunderbay Transportation Authority,Alpena,MI,5R03-068,5R03-50233,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  27 ,MB,DO,2,,0,,  12.84 ,,  -   ,,  2.44 ,, 0 ,, 0 ,,20647,, 0 ,, 0 ,,1608,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,3924,, 0 ,,0.0
Thunderbay Transportation Authority,Alpena,MI,5R03-068,5R03-50233,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  27 ,DR,DO,25,,0,,  16.20 ,,  -   ,,  4.30 ,, 0 ,, 0 ,,501931,, 0 ,, 0 ,,30974,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,133340,, 0 ,,0.0
St. Joseph County Transportation Authority,Three Rivers,MI,5R03-066,5R03-50436,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  26 ,DR,DO,23,,0,,  19.75 ,,  -   ,,  1.60 ,, 0 ,, 0 ,,758158,, 0 ,, 0 ,,38385,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,61481,, 0 ,,0.0
St. Joseph County Transportation Authority,Three Rivers,MI,5R03-066,5R03-50436,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  26 ,MB,DO,3,,0,,  15.91 ,,  -   ,,  3.49 ,, 0 ,, 0 ,,145750,, 0 ,, 0 ,,9159,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,31926,, 0 ,,0.0
Twin Cities Area Transportation Authority,Benton Harbor,MI,5132,50132,Independent Public Agency or Authority of Transit Service,Reduced Reporter," 61,022 ",  25 ,DR,DO,21,,0,,  10.63 ,,  -   ,,  3.46 ,, 0 ,, 0 ,,318947,, 0 ,, 0 ,,30010,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,103735,, 0 ,,0.0
"Livingston County Board of Commissioners, dba: Livingston Essential Transportation Service",Howell,MI,5180,50180,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 119,509 ",  25 ,DR,DO,25,,0,,  18.57 ,,  -   ,,  3.10 ,, 0 ,, 0 ,,871082,, 0 ,, 0 ,,46918,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,145556,, 0 ,,0.0
"Lake Erie Transportation Commission, dba: Lake Erie Transit",Monroe,MI,,50522,Independent Public Agency or Authority of Transit Service,Full Reporter," 51,240 ",  25 ,DR,DO,17,,0,,  15.73 ,,  5.29 ,,  4.95 ,, 0 ,," 472,409 ",,432578,," 39,831 ",," 29,847 ",,27506,," 2,341 ",, 0 ,, 0 ,, 0 ,, 0 ,,136166,," 719,904 ",,0.0
Twin Cities Area Transportation Authority,Benton Harbor,MI,5132,50132,Independent Public Agency or Authority of Transit Service,Reduced Reporter," 61,022 ",  25 ,MB,DO,4,,0,,  15.98 ,,  -   ,,  5.34 ,, 0 ,, 0 ,,215768,, 0 ,, 0 ,,13504,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,72150,, 0 ,,0.0
"Lake Erie Transportation Commission, dba: Lake Erie Transit",Monroe,MI,,50522,Independent Public Agency or Authority of Transit Service,Full Reporter," 51,240 ",  25 ,MB,DO,8,,0,,  11.71 ,,  3.07 ,,  11.62 ,," 279,440 ",," 288,445 ",,280468,," 7,977 ",," 24,498 ",,23951,, 547 ,, 0 ,, 0 ,, 0 ,, 0 ,,278229,," 855,526 ",,61.3
Eaton County Transportation Authority,Charlotte,MI,5R03-028,5R03-50260,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  24 ,MB,DO,2,,0,,  29.78 ,,  -   ,,  1.14 ,, 0 ,, 0 ,,100658,, 0 ,, 0 ,,3380,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,3845,, 0 ,,0.0
Macatawa Area Express Transportation Authority,Holland,MI,5184,50184,Independent Public Agency or Authority of Transit Service,Full Reporter," 99,941 ",  24 ,MB,DO,9,,0,,  12.51 ,,  3.94 ,,  10.12 ,," 423,550 ",," 438,075 ",,422022,," 16,053 ",," 34,647 ",,33744,, 903 ,, 0 ,, 0 ,, 0 ,, 0 ,,341507,," 1,345,538 ",,140.8
Clinton Area Transit System,St. Johns,MI,5R03-023,5R03-50314,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  24 ,DR,DO,24,,0,,  17.83 ,,  -   ,,  1.63 ,, 0 ,, 0 ,,574868,, 0 ,, 0 ,,32234,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,52534,, 0 ,,0.0
Macatawa Area Express Transportation Authority,Holland,MI,5184,50184,Independent Public Agency or Authority of Transit Service,Full Reporter," 99,941 ",  24 ,DR,DO,15,,0,,  13.70 ,,  5.67 ,,  2.52 ,, 0 ,," 523,714 ",,482175,," 41,539 ",," 37,123 ",,35185,," 1,938 ",, 0 ,, 0 ,, 0 ,, 0 ,,88732,," 503,110 ",,0.0
Clare County Transit ,Harrison,MI,5R03-022,5R03-50453,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  24 ,DR,DO,24,,0,,  19.43 ,,  -   ,,  3.29 ,, 0 ,, 0 ,,593512,, 0 ,, 0 ,,30553,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,100399,, 0 ,,0.0
Eaton County Transportation Authority,Charlotte,MI,5R03-028,5R03-50260,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  24 ,DR,DO,22,,0,,  18.91 ,,  -   ,,  3.52 ,, 0 ,, 0 ,,747457,, 0 ,, 0 ,,39524,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,139086,, 0 ,,0.0
Allegan County Transportation Services,Allegan,MI,5R03-003,5R03-50456,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  24 ,DR,PT,24,,0,,  22.27 ,,  -   ,,  1.91 ,, 0 ,, 0 ,,466365,, 0 ,, 0 ,,20943,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,40019,, 0 ,,0.0
Cadillac/Wexford Transit Authority,Cadillac,MI,5R03-017,5R03-50374,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  23 ,DR,DO,23,,0,,  19.08 ,,  -   ,,  2.89 ,, 0 ,, 0 ,,912541,, 0 ,, 0 ,,47826,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,138217,, 0 ,,0.0
"Manistee County Transportation, Inc.",Manistee ,MI,5R03-048,5R03-50369,"City, County or Local Government Unit or Department of Transportation",Rural Reporter, 0 ,  23 ,DR,DO,23,,0,,  15.94 ,,  -   ,,  4.37 ,, 0 ,, 0 ,,566212,, 0 ,, 0 ,,35520,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,155367,, 0 ,,0.0
Greater Lapeer Transportation Authority,Lapeer ,MI,5R03-032,5R03-50335,Independent Public Agency or Authority of Transit Service,Rural Reporter, 0 ,  23 ,DR,DO,23,,0,,  14.90 ,,  -   ,,  3.48 ,, 0 ,, 0 ,,692652,, 0 ,, 0 ,,46480,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,161531,, 0 ,,0.0
"Midland County Board of Commissioners, dba: County Connection of Midland",Midland,MI,5208,50208,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 59,014 ",  22 ,DR,DO,22,,0,,  23.01 ,,  -   ,,  1.66 ,, 0 ,, 0 ,,1075725,, 0 ,, 0 ,,46745,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,77459,, 0 ,,0.0
"County of Muskegon, dba: Muskegon Area Transit System",Muskegon Heights,MI,5037,50037,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter," 161,280 ",  22 ,MB,DO,15,,0,,  14.59 ,,  -   ,,  10.74 ,, 0 ,, 0 ,,631800,, 0 ,, 0 ,,43292,, 0 ,, 0 ,, 0 ,, 0 ,, 0 ,,464963,, 0 ,,0.0
